onset	duration	trial	condition
2.412	5.005	1	1
10.488	5.006	2	1
18.283	5.007	3	1
25.566	5.006	4	1
32.818	5.006	5	1
40.963	5.006	6	1
57.389	5.005	7	2
64.717	5.006	8	2
71.992	5.005	9	2
79.694	5.005	10	2
87.044	5.005	11	2
94.268	5.005	12	2
111.399	5.006	13	1
119.427	5.005	14	1
127.586	5.006	15	1
135.485	5.005	16	1
143.121	5.006	17	1
150.677	5.005	18	1
167.907	5.005	19	2
175.484	5.006	20	2
182.589	5.006	21	2
190.281	5.005	22	2
198.051	5.005	23	2
205.137	5.006	24	2
221.612	5.006	25	1
228.676	5.006	26	1
235.865	5.006	27	1
243.433	5.006	28	1
251.084	5.005	29	1
258.141	5.006	30	1
274.46	5.006	31	2
282.485	5.005	32	2
290.584	5.006	33	2
298.569	5.005	34	2
306.087	5.006	35	2
313.873	5.006	36	2
330.307	5.006	37	1
337.724	5.006	38	1
345.134	5.006	39	1
353.28	5.006	40	1
360.374	5.005	41	1
368.426	5.005	42	1
385.299	5.005	43	2
392.48	5.006	44	2
400.311	5.006	45	2
407.518	5.005	46	2
414.939	5.005	47	2
422.492	5.005	48	2
438.842	5.005	49	1
446.399	5.006	50	1
453.563	5.005	51	1
461.477	5.006	52	1
469.482	5.005	53	1
477.247	5.006	54	1
493.984	5.006	55	2
501.106	5.005	56	2
508.451	5.006	57	2
515.534	5.005	58	2
523.147	5.005	59	2
530.147	5.006	60	2
547.541	5.006	61	1
554.794	5.005	62	1
562.709	5.006	63	1
570.081	5.006	64	1
577.969	5.005	65	1
585.841	5.006	66	1
602.312	5.006	67	2
609.959	5.005	68	2
617.626	5.005	69	2
625.279	5.005	70	2
633.302	5.005	71	2
641.307	5.006	72	2
