onset	duration	trial	condition
2.406	5.005	1	1
10.446	5.006	2	1
17.471	5.005	3	1
24.738	5.006	4	1
32.088	5.006	5	1
40.179	5.006	6	1
57.089	5.005	7	2
64.459	5.005	8	2
72.43	5.005	9	2
79.531	5.005	10	2
87.487	5.006	11	2
95.637	5.005	12	2
111.928	5.005	13	1
120.077	5.005	14	1
127.115	5.006	15	1
134.697	5.005	16	1
142.578	5.006	17	1
150.245	5.005	18	1
167.621	5.005	19	2
175.149	5.006	20	2
182.845	5.005	21	2
190.816	5.005	22	2
197.972	5.005	23	2
205.396	5.006	24	2
222.068	5.006	25	1
229.823	5.005	26	1
237.421	5.006	27	1
244.736	5.005	28	1
252.343	5.004	29	1
259.722	5.005	30	1
276.8	5.005	31	2
284.94	5.005	32	2
292.355	5.005	33	2
300.533	5.006	34	2
308.321	5.006	35	2
316.313	5.005	36	2
333.768	5.005	37	1
340.805	5.006	38	1
348.179	5.006	39	1
356.301	5.006	40	1
364.478	5.005	41	1
371.934	5.005	42	1
388.899	5.006	43	2
396.988	5.006	44	2
404.683	5.006	45	2
412.426	5.006	46	2
420.14	5.005	47	2
427.748	5.005	48	2
445.166	5.006	49	1
452.683	5.005	50	1
459.929	5.006	51	1
467.085	5.005	52	1
475.109	5.006	53	1
482.73	5.005	54	1
499.258	5.005	55	2
507.421	5.006	56	2
514.684	5.005	57	2
522.416	5.005	58	2
530.439	5.006	59	2
538.157	5.006	60	2
555.363	5.006	61	1
562.995	5.006	62	1
571.062	5.006	63	1
579.228	5.005	64	1
586.22	5.005	65	1
593.868	5.005	66	1
610.976	5.005	67	2
618.915	5.006	68	2
626.224	5.005	69	2
633.588	5.005	70	2
641.244	5.006	71	2
648.972	5.006	72	2
