onset	duration	trial	condition
2.38	5.005	1	1
10.254	5.005	2	1
18.312	5.005	3	1
25.851	5.006	4	1
33.145	5.005	5	1
41.321	5.005	6	1
57.603	5.005	7	2
65.709	5.005	8	2
72.987	5.005	9	2
80.186	5.005	10	2
88.196	5.005	11	2
95.528	5.005	12	2
112.336	5.004	13	1
120.356	5.005	14	1
127.873	5.005	15	1
134.876	5.005	16	1
142.207	5.006	17	1
149.522	5.005	18	1
166.897	5.005	19	2
174.011	5.005	20	2
181.313	5.004	21	2
188.322	5.005	22	2
196.51	5.005	23	2
204.25	5.006	24	2
220.586	5.005	25	1
228.737	5.005	26	1
236.18	5.005	27	1
243.513	5.005	28	1
250.562	5.005	29	1
258.572	5.005	30	1
274.953	5.005	31	2
282.064	5.005	32	2
289.497	5.005	33	2
297.012	5.005	34	2
304.005	5.005	35	2
311.865	5.005	36	2
329.217	5.005	37	1
336.238	5.005	38	1
343.343	5.006	39	1
350.525	5.005	40	1
357.757	5.005	41	1
365.815	5.005	42	1
382.183	5.005	43	2
390.13	5.005	44	2
398.173	5.005	45	2
406.219	5.005	46	2
413.38	5.005	47	2
421.469	5.005	48	2
438.847	5.005	49	1
445.96	5.005	50	1
453.357	5.005	51	1
460.527	5.005	52	1
468.303	5.005	53	1
475.926	5.005	54	1
492.811	5.005	55	2
500.776	5.005	56	2
508.478	5.005	57	2
516.587	5.005	58	2
524.346	5.005	59	2
532.13	5.005	60	2
548.588	5.005	61	1
556.061	5.005	62	1
563.632	5.005	63	1
570.739	5.005	64	1
578.351	5.005	65	1
586.167	5.005	66	1
602.877	5.005	67	2
610.565	5.005	68	2
618.095	5.005	69	2
626.265	5.006	70	2
633.978	5.005	71	2
641.983	5.005	72	2
