onset	duration	trial	condition
2.404	5.005	1	1
10.243	5.005	2	1
17.953	5.006	3	1
25.813	5.005	4	1
33.963	5.005	5	1
41.576	5.006	6	1
58.939	5.006	7	2
66.042	5.005	8	2
73.816	5.006	9	2
80.829	5.005	10	2
88.733	5.005	11	2
96.578	5.005	12	2
113.627	5.005	13	1
121.123	5.005	14	1
128.23	5.006	15	1
135.733	5.006	16	1
143.0	5.006	17	1
150.902	5.005	18	1
168.328	5.006	19	2
176.171	5.005	20	2
183.613	5.005	21	2
191.27	5.005	22	2
198.548	5.006	23	2
205.585	5.005	24	2
222.724	5.006	25	1
229.848	5.005	26	1
237.447	5.006	27	1
245.053	5.005	28	1
252.283	5.005	29	1
259.551	5.005	30	1
275.844	5.005	31	2
283.021	5.006	32	2
291.169	5.007	33	2
298.737	5.006	34	2
305.834	5.005	35	2
313.754	5.005	36	2
330.59	5.006	37	1
338.74	5.005	38	1
346.454	5.006	39	1
354.044	5.005	40	1
362.031	5.006	41	1
370.113	5.006	42	1
387.456	5.005	43	2
395.086	5.005	44	2
402.391	5.005	45	2
410.01	5.006	46	2
417.371	5.005	47	2
424.833	5.005	48	2
441.416	5.005	49	1
449.317	5.006	50	1
456.899	5.006	51	1
464.49	5.005	52	1
472.266	5.005	53	1
480.323	5.005	54	1
497.603	5.005	55	2
504.906	5.006	56	2
512.246	5.005	57	2
519.339	5.005	58	2
526.41	5.006	59	2
534.096	5.005	60	2
550.642	5.006	61	1
558.614	5.005	62	1
566.293	5.006	63	1
573.735	5.006	64	1
581.056	5.006	65	1
588.226	5.005	66	1
605.553	5.006	67	2
612.97	5.005	68	2
620.674	5.005	69	2
628.257	5.005	70	2
635.91	5.005	71	2
643.139	5.005	72	2
