onset	duration	trial	condition
2.397	5.006	1	2
9.445	5.006	2	2
17.153	5.005	3	2
24.665	5.005	4	2
31.907	5.006	5	2
39.867	5.005	6	2
57.224	5.006	7	1
64.447	5.005	8	1
72.544	5.005	9	1
80.052	5.005	10	1
87.918	5.005	11	1
95.816	5.006	12	1
112.606	5.006	13	2
120.158	5.005	14	2
127.51	5.005	15	2
135.433	5.005	16	2
143.433	5.005	17	2
150.969	5.005	18	2
167.335	5.006	19	1
175.538	5.005	20	1
183.612	5.005	21	1
190.757	5.006	22	1
198.031	5.005	23	1
205.373	5.005	24	1
222.538	5.006	25	2
229.982	5.006	26	2
237.608	5.006	27	2
245.58	5.005	28	2
252.927	5.007	29	2
260.174	5.005	30	2
277.246	5.005	31	1
284.638	5.005	32	1
291.961	5.005	33	1
299.334	5.005	34	1
306.594	5.006	35	1
313.797	5.006	36	1
330.22	5.006	37	2
337.569	5.005	38	2
345.664	5.006	39	2
353.355	5.005	40	2
360.529	5.006	41	2
368.371	5.005	42	2
385.463	5.004	43	1
392.876	5.006	44	1
400.743	5.005	45	1
407.912	5.006	46	1
416.059	5.005	47	1
423.492	5.005	48	1
440.178	5.006	49	2
448.117	5.006	50	2
455.818	5.006	51	2
463.85	5.005	52	2
471.541	5.005	53	2
478.71	5.006	54	2
495.728	5.005	55	1
502.87	5.006	56	1
510.446	5.005	57	1
517.552	5.005	58	1
524.572	5.005	59	1
531.95	5.006	60	1
548.251	5.005	61	2
555.38	5.005	62	2
563.336	5.005	63	2
570.905	5.005	64	2
578.455	5.006	65	2
585.6	5.006	66	2
602.544	5.005	67	1
610.713	5.005	68	1
618.533	5.005	69	1
626.04	5.006	70	1
633.605	5.005	71	1
641.612	5.006	72	1
