onset	duration	trial	condition
2.394	5.005	1	2
9.618	5.006	2	2
17.183	5.005	3	2
24.862	5.006	4	2
31.955	5.005	5	2
39.091	5.006	6	2
56.268	5.007	7	1
63.608	5.006	8	1
71.411	5.008	9	1
78.959	5.005	10	1
86.988	5.006	11	1
94.487	5.005	12	1
111.528	5.006	13	2
118.574	5.006	14	2
125.818	5.006	15	2
133.899	5.007	16	2
141.875	5.005	17	2
149.194	5.005	18	2
166.534	5.006	19	1
173.71	5.006	20	1
181.823	5.005	21	1
189.541	5.006	22	1
196.63	5.006	23	1
203.916	5.005	24	1
221.163	5.006	25	2
228.183	5.006	26	2
235.928	5.006	27	2
244.119	5.005	28	2
251.121	5.005	29	2
259.285	5.006	30	2
276.44	5.005	31	1
284.217	5.005	32	1
292.265	5.006	33	1
299.531	5.005	34	1
306.669	5.006	35	1
314.767	5.006	36	1
331.327	5.006	37	2
339.344	5.006	38	2
346.648	5.006	39	2
354.084	5.005	40	2
361.617	5.005	41	2
369.713	5.006	42	2
386.122	5.005	43	1
393.444	5.005	44	1
400.669	5.005	45	1
408.562	5.006	46	1
416.725	5.005	47	1
424.592	5.005	48	1
441.701	5.005	49	2
449.603	5.006	50	2
456.713	5.006	51	2
464.77	5.005	52	2
472.733	5.005	53	2
480.868	5.006	54	2
497.193	5.005	55	1
504.501	5.005	56	1
511.527	5.005	57	1
519.183	5.005	58	1
527.272	5.005	59	1
534.582	5.005	60	1
551.973	5.005	61	2
559.016	5.005	62	2
566.916	5.006	63	2
574.512	5.005	64	2
581.973	5.005	65	2
589.023	5.006	66	2
605.529	5.006	67	1
613.401	5.005	68	1
621.379	5.006	69	1
629.03	5.006	70	1
636.496	5.005	71	1
643.852	5.005	72	1
