onset	duration	trial	condition
2.432	5.005	1	1
9.609	5.005	2	1
17.133	5.006	3	1
24.863	5.005	4	1
32.867	5.006	5	1
40.889	5.005	6	1
57.525	5.005	7	2
65.187	5.005	8	2
73.33	5.005	9	2
80.382	5.005	10	2
87.374	5.005	11	2
95.054	5.005	12	2
111.698	5.006	13	1
118.805	5.005	14	1
125.945	5.005	15	1
133.027	5.005	16	1
140.818	5.005	17	1
147.939	5.005	18	1
164.857	5.005	19	2
171.873	5.005	20	2
178.879	5.005	21	2
186.982	5.005	22	2
194.228	5.005	23	2
201.756	5.004	24	2
219.155	5.004	25	1
226.996	5.005	26	1
234.714	5.006	27	1
242.711	5.005	28	1
249.871	5.005	29	1
257.588	5.005	30	1
273.893	5.005	31	2
281.683	5.005	32	2
288.914	5.005	33	2
296.146	5.005	34	2
303.61	5.005	35	2
311.338	5.005	36	2
328.201	5.005	37	1
335.904	5.005	38	1
343.195	5.006	39	1
350.782	5.005	40	1
358.429	5.005	41	1
365.465	5.005	42	1
382.624	5.005	43	2
389.678	5.005	44	2
396.895	5.005	45	2
405.069	5.005	46	2
412.373	5.005	47	2
420.175	5.005	48	2
436.527	5.005	49	1
444.036	5.005	50	1
451.243	5.005	51	1
458.241	5.005	52	1
466.213	5.005	53	1
473.858	5.005	54	1
490.644	5.005	55	2
497.702	5.005	56	2
505.323	5.005	57	2
512.88	5.006	58	2
520.219	5.005	59	2
528.32	5.005	60	2
545.673	5.005	61	1
553.12	5.005	62	1
560.224	5.005	63	1
567.582	5.005	64	1
575.247	5.005	65	1
582.695	5.005	66	1
600.036	5.005	67	2
607.729	5.004	68	2
615.098	5.005	69	2
622.15	5.005	70	2
629.776	5.005	71	2
636.77	5.005	72	2
