onset	duration	trial	condition
2.391	5.006	1	1
9.922	5.005	2	1
17.717	5.006	3	1
25.022	5.006	4	1
32.184	5.006	5	1
39.662	5.005	6	1
56.336	5.006	7	2
64.317	5.005	8	2
71.348	5.006	9	2
78.959	5.004	10	2
86.426	5.006	11	2
93.88	5.005	12	2
110.735	5.006	13	1
118.315	5.005	14	1
126.164	5.006	15	1
133.987	5.005	16	1
141.747	5.006	17	1
148.858	5.005	18	1
165.822	5.004	19	2
172.823	5.005	20	2
179.98	5.005	21	2
187.354	5.005	22	2
195.355	5.006	23	2
202.867	5.004	24	2
220.033	5.005	25	1
227.757	5.005	26	1
235.82	5.006	27	1
243.792	5.004	28	1
251.601	5.005	29	1
259.408	5.006	30	1
275.762	5.006	31	2
283.212	5.006	32	2
291.302	5.005	33	2
298.778	5.005	34	2
306.579	5.005	35	2
313.626	5.005	36	2
330.305	5.006	37	1
338.314	5.004	38	1
346.142	5.006	39	1
354.093	5.005	40	1
361.84	5.005	41	1
369.692	5.005	42	1
386.305	5.005	43	2
393.872	5.005	44	2
401.488	5.007	45	2
408.663	5.006	46	2
416.731	5.005	47	2
423.885	5.006	48	2
440.63	5.005	49	1
448.761	5.006	50	1
455.79	5.006	51	1
463.092	5.006	52	1
470.217	5.006	53	1
478.328	5.006	54	1
494.619	5.006	55	2
502.091	5.005	56	2
509.754	5.004	57	2
517.6	5.006	58	2
525.54	5.006	59	2
533.009	5.006	60	2
549.627	5.006	61	1
557.627	5.004	62	1
564.665	5.006	63	1
571.78	5.006	64	1
579.43	5.005	65	1
586.443	5.006	66	1
603.115	5.005	67	2
610.124	5.006	68	2
617.924	5.005	69	2
625.486	5.005	70	2
632.71	5.005	71	2
640.464	5.005	72	2
