onset	duration	trial	condition
2.39	5.005	1	1
9.493	5.005	2	1
17.171	5.005	3	1
24.311	5.005	4	1
31.533	5.005	5	1
39.637	5.005	6	1
57.097	5.005	7	2
64.65	5.005	8	2
72.191	5.005	9	2
80.358	5.005	10	2
87.926	5.005	11	2
95.67	5.006	12	2
112.426	5.005	13	1
120.548	5.005	14	1
128.641	5.005	15	1
136.287	5.005	16	1
144.407	5.004	17	1
151.652	5.005	18	1
168.319	5.005	19	2
175.44	5.005	20	2
182.812	5.005	21	2
190.636	5.005	22	2
197.933	5.005	23	2
205.061	5.005	24	2
222.363	5.005	25	1
229.433	5.005	26	1
237.06	5.007	27	1
244.88	5.006	28	1
252.757	5.005	29	1
260.469	5.005	30	1
277.504	5.005	31	2
285.385	5.005	32	2
292.775	5.006	33	2
300.171	5.005	34	2
308.202	5.005	35	2
316.177	5.005	36	2
332.977	5.005	37	1
340.848	5.005	38	1
348.65	5.006	39	1
355.916	5.005	40	1
363.634	5.005	41	1
371.502	5.006	42	1
388.269	5.005	43	2
396.057	5.005	44	2
403.998	5.005	45	2
412.158	5.005	46	2
420.159	5.004	47	2
428.344	5.005	48	2
445.216	5.005	49	1
452.261	5.005	50	1
459.707	5.005	51	1
467.536	5.005	52	1
474.588	5.005	53	1
482.444	5.006	54	1
499.052	5.005	55	2
507.15	5.005	56	2
514.402	5.005	57	2
521.709	5.005	58	2
529.834	5.005	59	2
537.34	5.005	60	2
554.23	5.005	61	1
562.362	5.005	62	1
569.47	5.005	63	1
577.523	5.005	64	1
585.351	5.005	65	1
593.53	5.005	66	1
610.874	5.005	67	2
618.63	5.005	68	2
626.395	5.005	69	2
634.28	5.005	70	2
642.014	5.005	71	2
649.652	5.005	72	2
