onset	duration	trial	condition
2.508	5.005	1	1
10.29	5.005	2	1
18.172	5.005	3	1
25.399	5.005	4	1
32.697	5.005	5	1
40.117	5.005	6	1
57.279	5.006	7	2
64.848	5.005	8	2
72.64	5.005	9	2
79.892	5.005	10	2
87.122	5.005	11	2
94.406	5.006	12	2
111.149	5.005	13	1
119.083	5.005	14	1
126.744	5.005	15	1
134.844	5.005	16	1
142.024	5.005	17	1
149.343	5.005	18	1
166.783	5.005	19	2
174.92	5.005	20	2
182.688	5.005	21	2
190.077	5.005	22	2
197.941	5.005	23	2
205.177	5.005	24	2
221.868	5.005	25	1
229.33	5.005	26	1
237.485	5.006	27	1
245.66	5.005	28	1
252.99	5.005	29	1
260.8	5.005	30	1
278.331	5.005	31	2
286.036	5.005	32	2
293.958	5.005	33	2
302.053	5.005	34	2
309.678	5.005	35	2
316.825	5.005	36	2
334.165	5.005	37	1
341.733	5.005	38	1
349.168	5.005	39	1
356.604	5.005	40	1
364.478	5.005	41	1
372.326	5.006	42	1
389.139	5.005	43	2
396.677	5.005	44	2
404.381	5.005	45	2
411.411	5.005	46	2
418.918	5.005	47	2
426.483	5.005	48	2
443.899	5.005	49	1
452.074	5.005	50	1
459.837	5.005	51	1
467.039	5.005	52	1
474.806	5.006	53	1
482.76	5.005	54	1
500.234	5.005	55	2
507.591	5.005	56	2
514.652	5.005	57	2
521.876	5.004	58	2
529.402	5.005	59	2
536.95	5.005	60	2
554.29	5.005	61	1
562.49	5.005	62	1
569.578	5.005	63	1
577.609	5.005	64	1
585.234	5.005	65	1
592.862	5.005	66	1
609.564	5.005	67	2
616.674	5.005	68	2
624.318	5.005	69	2
632.14	5.005	70	2
639.189	5.005	71	2
647.261	5.005	72	2
