onset	duration	trial	condition
2.397	5.006	1	1
9.478	5.006	2	1
17.418	5.006	3	1
24.512	5.005	4	1
31.645	5.005	5	1
38.735	5.006	6	1
55.513	5.005	7	2
62.987	5.006	8	2
70.321	5.005	9	2
77.957	5.006	10	2
85.99	5.007	11	2
93.952	5.005	12	2
110.887	5.005	13	1
118.359	5.006	14	1
125.595	5.005	15	1
132.812	5.006	16	1
140.847	5.005	17	1
148.203	5.006	18	1
165.464	5.005	19	2
172.527	5.006	20	2
180.272	5.006	21	2
187.41	5.005	22	2
194.953	5.005	23	2
201.972	5.006	24	2
218.351	5.006	25	1
226.241	5.005	26	1
233.707	5.006	27	1
241.321	5.006	28	1
248.348	5.005	29	1
255.559	5.006	30	1
272.305	5.005	31	2
280.206	5.005	32	2
287.328	5.006	33	2
294.874	5.005	34	2
302.769	5.005	35	2
310.666	5.005	36	2
328.072	5.006	37	1
335.35	5.005	38	1
342.56	5.006	39	1
350.003	5.006	40	1
357.692	5.006	41	1
365.609	5.005	42	1
382.172	5.005	43	2
389.501	5.005	44	2
396.797	5.006	45	2
404.346	5.006	46	2
412.417	5.005	47	2
419.683	5.005	48	2
435.986	5.006	49	1
443.704	5.005	50	1
451.626	5.006	51	1
459.433	5.006	52	1
467.528	5.006	53	1
475.59	5.005	54	1
492.438	5.005	55	2
499.528	5.005	56	2
507.57	5.006	57	2
514.705	5.005	58	2
522.707	5.005	59	2
529.818	5.005	60	2
546.671	5.006	61	1
554.123	5.005	62	1
561.231	5.006	63	1
569.371	5.005	64	1
576.5	5.006	65	1
583.769	5.006	66	1
600.269	5.005	67	2
607.797	5.006	68	2
615.079	5.005	69	2
622.511	5.006	70	2
630.553	5.006	71	2
637.629	5.005	72	2
