onset	duration	trial	condition
2.402	5.005	1	2
9.908	5.005	2	2
18.05	5.005	3	2
25.638	5.005	4	2
33.784	5.005	5	2
41.533	5.005	6	2
58.073	5.005	7	1
65.445	5.004	8	1
73.344	5.005	9	1
80.808	5.005	10	1
88.462	5.005	11	1
96.563	5.005	12	1
113.145	5.005	13	2
121.253	5.005	14	2
128.646	5.005	15	2
136.766	5.005	16	2
144.858	5.005	17	2
151.953	5.005	18	2
168.552	5.005	19	1
176.227	5.005	20	1
183.977	5.005	21	1
191.885	5.005	22	1
199.857	5.005	23	1
206.936	5.005	24	1
223.513	5.005	25	2
231.219	5.005	26	2
238.436	5.006	27	2
245.679	5.005	28	2
253.497	5.005	29	2
261.176	5.005	30	2
278.579	5.005	31	1
286.616	5.005	32	1
294.806	5.005	33	1
302.074	5.005	34	1
309.369	5.005	35	1
316.767	5.005	36	1
333.279	5.005	37	2
340.944	5.005	38	2
348.197	5.005	39	2
355.876	5.005	40	2
363.623	5.005	41	2
370.802	5.004	42	2
387.387	5.005	43	1
395.258	5.006	44	1
402.698	5.005	45	1
410.729	5.005	46	1
417.758	5.005	47	1
425.257	5.005	48	1
442.579	5.005	49	2
450.308	5.005	50	2
457.314	5.005	51	2
464.974	5.006	52	2
472.285	5.005	53	2
479.429	5.005	54	2
496.384	5.005	55	1
504.323	5.005	56	1
511.66	5.005	57	1
518.901	5.005	58	1
526.904	5.005	59	1
534.505	5.005	60	1
551.888	5.005	61	2
559.316	5.005	62	2
567.377	5.005	63	2
574.94	5.006	64	2
583.113	5.006	65	2
590.795	5.005	66	2
608.237	5.005	67	1
616.309	5.005	68	1
624.016	5.005	69	1
631.69	5.005	70	1
639.735	5.006	71	1
646.779	5.005	72	1
