onset	duration	trial	condition
2.394	5.005	1	2
9.493	5.005	2	2
16.824	5.005	3	2
23.824	5.005	4	2
31.731	5.005	5	2
39.512	5.006	6	2
55.955	5.005	7	1
64.099	5.005	8	1
71.48	5.005	9	1
78.886	5.005	10	1
86.053	5.005	11	1
93.737	5.005	12	1
110.297	5.005	13	2
117.414	5.005	14	2
125.427	5.005	15	2
133.578	5.005	16	2
140.674	5.005	17	2
148.289	5.005	18	2
164.715	5.005	19	1
172.437	5.005	20	1
180.591	5.005	21	1
188.065	5.005	22	1
195.853	5.006	23	1
203.835	5.005	24	1
221.03	5.006	25	2
228.814	5.005	26	2
235.926	5.005	27	2
243.113	5.005	28	2
251.242	5.005	29	2
259.183	5.005	30	2
276.065	5.005	31	1
284.029	5.006	32	1
291.388	5.005	33	1
298.432	5.005	34	1
306.144	5.005	35	1
313.166	5.005	36	1
330.072	5.005	37	2
338.165	5.005	38	2
345.252	5.005	39	2
352.898	5.005	40	2
360.381	5.005	41	2
368.457	5.005	42	2
385.575	5.005	43	1
393.342	5.006	44	1
401.183	5.005	45	1
408.368	5.005	46	1
416.181	5.005	47	1
423.874	5.005	48	1
440.956	5.005	49	2
448.72	5.005	50	2
456.518	5.005	51	2
464.092	5.005	52	2
471.84	5.005	53	2
479.381	5.005	54	2
496.178	5.006	55	1
504.314	5.005	56	1
511.549	5.005	57	1
519.617	5.005	58	1
527.232	5.005	59	1
534.99	5.005	60	1
551.894	5.006	61	2
559.556	5.005	62	2
566.579	5.005	63	2
573.779	5.005	64	2
581.597	5.005	65	2
589.703	5.005	66	2
607.012	5.005	67	1
615.1	5.005	68	1
622.392	5.005	69	1
629.71	5.005	70	1
636.952	5.005	71	1
644.006	5.005	72	1
