onset	duration	trial	condition
2.396	5.005	1	2
9.905	5.005	2	2
17.678	5.005	3	2
25.719	5.006	4	2
32.874	5.005	5	2
40.242	5.005	6	2
57.593	5.005	7	1
65.01	5.005	8	1
73.152	5.005	9	1
81.264	5.005	10	1
89.275	5.005	11	1
96.814	5.005	12	1
113.65	5.005	13	2
121.626	5.005	14	2
128.987	5.005	15	2
137.185	5.006	16	2
144.811	5.005	17	2
152.529	5.005	18	2
169.158	5.005	19	1
176.29	5.006	20	1
183.89	5.005	21	1
191.358	5.005	22	1
199.254	5.005	23	1
206.862	5.005	24	1
223.582	5.005	25	2
231.581	5.005	26	2
239.331	5.005	27	2
247.376	5.005	28	2
255.257	5.005	29	2
262.496	5.005	30	2
279.017	5.005	31	1
287.154	5.006	32	1
294.569	5.005	33	1
301.894	5.005	34	1
308.971	5.005	35	1
317.137	5.005	36	1
334.07	5.005	37	2
341.875	5.005	38	2
349.159	5.005	39	2
356.467	5.005	40	2
363.614	5.005	41	2
371.498	5.005	42	2
388.005	5.005	43	1
395.688	5.005	44	1
403.795	5.005	45	1
410.858	5.005	46	1
418.508	5.005	47	1
425.898	5.005	48	1
442.961	5.006	49	2
450.287	5.005	50	2
458.39	5.006	51	2
465.939	5.004	52	2
473.652	5.006	53	2
481.244	5.005	54	2
498.486	5.006	55	1
505.843	5.006	56	1
513.67	5.005	57	1
521.44	5.005	58	1
528.817	5.005	59	1
536.191	5.005	60	1
553.091	5.005	61	2
560.913	5.005	62	2
568.94	5.005	63	2
576.086	5.005	64	2
583.507	5.005	65	2
591.166	5.005	66	2
608.508	5.005	67	1
616.242	5.005	68	1
623.457	5.005	69	1
631.579	5.005	70	1
639.042	5.005	71	1
647.203	5.005	72	1
